KODERS,TTD,DUDS
3173073,456,120
3173474,77,92
3173521,420,102
3173656,156,120
3173062,339,136
3173543,47,59
3173660,105,24
3173040,448,166
3173014,959,654
3173084,240,53
3173580,140,47
3173051,295,52
3173506,201,86
3173025,723,326
3173036,285,102
3173441,78,81
3173105,214,47
3173612,20,15
3173496,25,5
3173510,20,1
3173682,40,11
3173116,42,20
3173120,94,72
3173634,25,6
3173623,19,43
3173532,34,50
3173695,37,32
3173671,3,0
3173704,0,0
3171768,68,71
3175326,168,62
3175407,162,145
3175385,154,109
3175016,608,62
3175042,164,77
3175075,114,30
3175352,182,121
3175031,168,67
3175341,158,103
3175374,130,30
3175315,106,77
3175330,168,82
3175396,47,50
3175181,75,42
3175363,91,44
3175409,82,39
3175064,200,64
3174509,32,15
3175408,115,33
3175304,53,87
3174074,304,95
3174416,109,41
3174486,110,18
3174015,245,63
3174431,237,145
3174351,219,184
3174475,74,14
3174052,123,114
3174420,88,41
3174508,132,94
3174026,335,47
3174030,77,30
3174453,113,30
3174041,320,40
3174497,27,15
3174063,424,137
3174260,354,82
3174282,354,96
3174527,0,0
3174510,52,15
3174515,25,51
3171791,46,11
3171450,68,50
3171012,862,269
3171786,166,527
3171574,155,81
3171798,9,15
3171702,103,32
3171023,384,135
3171781,91,53
3171621,52,50
3171504,235,200
3171785,58,27
3171785,122,70
3171034,174,69
3171643,52,36
3171072,134,75
3171515,151,14
3171045,155,77
3171665,180,25
3171632,73,37
3171461,142,59
3171680,75,54
3171782,32,16
3171746,60,39
3171724,69,110
3171413,76,39
3171060,52,24
3171552,26,12
3171216,46,10
3171713,77,13
3171784,71,25
3171511,34,54
3171757,55,25
3171083,39,8
31717835,63,51
3171424,24,44
3171286,42,33
3172531,78,30
3172553,221,91
3172590,84,35
3172505,227,101
3172083,94,39
3172035,125,48
3172206,280,145
3172061,165,95
3172024,345,46
3172094,238,85
3172520,112,66
3172724,265,99
3172126,315,78
3172767,0,0
31727475,61,33
31727475,152,73
3172516,90,39
3172013,605,216
3172713,96,32
3172702,95,50
3172750,50,22
3171435,100,48
3172746,25,0
3172735,52,12
3172748,76,59
31727565,31,27
3172137,50,0
3172243,148,198
3172759,52,26
3172752,41,16
31727555,56,4
3172301,53,51
3101002,13,5
3172749,149,75
3173014,919,599
31717895,94,109
3172072,1163,131
3172520,112,66
3173645,112,43
31727535,117,95
3173696,61,60
3172758,78,79
3174522,254,60
3173706,136,137
3171790,34,34
3172050,88,41
3172757,110,34
3175414,15,26
3174518,51,28
3171795,522,52
3174523,31,37
3173705,33,17
3171610,40,1
3171676,50,1
3173131,52,4
3173244,44,1
3173372,35,1
3174395,68,4
3174405,50,13
3172751,8,2
31745165,46,12
3173697,2,0
3174529,0,0
3173699,28,17
3175410,40,13
3172760,45,16
3175411,35,23
3173698,39,17
3175412,54,26
3171792,30,15
3173701,38,24
3171793,39,0
3172761,29,13
3174519,0,0
3173700,42,21
3175413,37,23
3174517,32,3
3171796,26,19
3172765,22,17
3175416,37,0
3174525,54,0
317541,32,6
3171800,61,13
3171801,48,18
3173707,8,2
3171802,0,0
3172769,0,0
3172770,0,0
3271104,312,97
3271126,91,61
3271164,127,62
3201218,148,37
3271013,336,63
3201251,63,51
3271115,117,110
3201236,113,45
3271163,69,31
3271046,707,68
3271072,125,15
3271161,92,47
3201241,36,34
3271024,221,15
3271162,60,13
3201240,43,27
3201243,28,8
3271166,27,10
3201126,159,133
3201061,140,57
3201185,237,148
3276041,119,51
3201035,141,56
3276146,140,69
3276017,242,66
3276028,203,69
3201013,61,16
3201072,141,32
3201196,107,56
3276124,93,39
3276135,65,27
3276039,90,40
3276150,38,27
3276151,118,57
3276152,77,29
3201141,83,34
3276147,57,15
32761495,41,14
3276153,46,12
3276154,91,26
3603010,476,129
3671065,360,92
3671080,179,110
3671043,139,63
3671146,193,55
3671203,234,70
3671205,187,63
3671126,109,40
3671135,96,44
3671136,100,89
3671208,219,77
3671210,102,33
3671032,239,62
3671076,122,46
3671124,96,37
3671082,53,20
3671204,139,35
3671207,92,29
3671209,116,37
3671211,63,22
3671021,71,22
3671091,25,0
3671202,60,18
3671214,0,0
3671217,36,15
3671218,31,14
3671219,38,8
3671221,42,12
3671222,29,10
3671223,136,23
3275115,292,214
3216218,143,62
3216329,122,90
3275130,138,55
3275392,267,123
3275062,71,37
3275024,121,46
3275050,107,39
3275094,289,99
3216174,108,32
3275196,124,60
3275207,112,31
3275263,70,36
3216285,108,48
3216362,119,65
3275373,124,61
3275013,601,81
3725061,70,29
3275083,81,14
3275229,125,51
3275296,51,11
3275307,81,31
3275035,54,23
3275141,73,29
3275390,38,20
3216402,155,34
3216423,65,26
3275274,74,28
3275017,66,23
3275039,45,25
3275052,55,20
3275046,182,57
3216389,102,63
3216396,33,13
32754035,30,14
3275053,55,20
3216427,67,14
3275057,53,29
3216429,28,7
3275060,81,12
3275063,0,0
3275064,0,0
3674102,205,167
3674113,161,129
3674018,134,96
3603060,114,49
3603082,68,51
3603115,165,90
3674005,186,65
3674014,79,52
3674157,98,59
3674168,145,70
3674006,69,67
3674007,96,110
3674056,81,27
3603201,38,27
3674004,86,43
3674009,55,24
3674012,79,27
3674016,72,25
3603034,40,3
3674071,60,7
3603093,30,10
3674193,110,34
3674003,63,10
3674171,88,20
3674008,20,17
3674011,30,15
3674013,73,25
3674015,32,16
3671216,88,27
3674019,27,9
