KODERS,TTD,DUDS,DGDS,PDS,DPRS
3173073,456,120,7,49,14
3173474,77,92,23,46,0
3173521,420,102,5,138,12
3173656,156,120,13,304,15
3173062,339,136,7,35,14
3173543,47,59,4,35,13
3173660,105,24,8,16,0
3173040,448,166,14,529,15
3173014,959,654,29,3045,15
3173084,240,53,9,37,12
3173580,140,47,0,19,13
3173051,295,52,12,600,14
3173506,201,86,9,22,0
3173025,723,326,34,1405,15
3173036,285,102,6,384,15
3173441,78,81,12,117,12
3173105,214,47,2,263,11
3173612,20,15,2,0,0
3173496,25,5,0,0,0
3173510,20,1,0,0,0
3173682,40,11,0,0,0
3173116,42,20,0,0,0
3173120,94,72,0,195,10
3173634,25,6,0,0,0
3173623,19,43,0,10,2
3173532,34,50,0,53,8
3173695,37,32,8,14,1
3173671,3,0,51,18,4
3173704,0,0,0,0,0
3171768,68,71,3,13,0
3175326,168,62,3,186,0
3175407,162,145,17,344,15
3175385,154,109,4,60,0
3175016,608,62,1,515,15
3175042,164,77,10,36,0
3175075,114,30,4,29,12
3175352,182,121,10,44,0
3175031,168,67,1,6,13
3175341,158,103,13,59,15
3175374,130,30,6,95,14
3175315,106,77,5,247,14
3175330,168,82,7,247,14
3175396,47,50,8,90,12
3175181,75,42,4,160,11
3175363,91,44,0,3,1
3175409,82,39,4,25,0
3175064,200,64,2,294,14
3174509,32,15,0,5,0
3175408,115,33,6,91,10
3175304,53,87,4,0,0
3174074,304,95,3,623,11
3174416,109,41,4,26,10
3174486,110,18,0,0,0
3174015,245,63,3,235,11
3174431,237,145,12,210,14
3174351,219,184,20,399,15
3174475,74,14,0,0,0
3174052,123,114,8,109,0
3174420,88,41,0,0,0
3174508,132,94,12,314,15
3174026,335,47,7,48,15
3174030,77,30,1,67,13
3174453,113,30,6,139,13
3174041,320,40,1,287,7
3174497,27,15,2,3,0
3174063,424,137,5,764,13
3174260,354,82,8,706,15
3174282,354,96,2,993,15
3174527,0,0,0,0,0
3174510,52,15,0,2,0
3174515,25,51,0,92,6
3171791,46,11,0,44,6
3171450,68,50,3,6,10
3171012,862,269,16,1668,15
3171786,166,527,15,143,13
