KODERS,VVIP,VIP,KELASI,KELASII,KELASIII,ICU,PICU,NICU,TTBAYIBARULAHIR,HCU
3173073,0,52,41,117,162,7,2,2,33,7
3173474,2,2,15,19,23,4,0,0,1,0
3173521,0,10,22,90,234,8,7,7,23,12
3173656,4,38,28,32,17,7,0,3,14,0
3173062,4,58,49,98,92,10,0,4,0,4
3173543,10,16,4,10,0,6,0,0,0,0
3173660,6,8,10,73,8,0,0,0,0,0
3173040,3,114,63,101,102,8,3,3,34,0
3173014,32,66,93,56,570,30,12,10,12,22
3173084,3,7,28,52,78,9,7,11,10,0
3173580,19,8,27,40,24,3,0,0,7,0
3173051,7,47,29,84,75,7,2,2,24,0
3173506,4,16,24,28,42,15,5,6,14,14
3173025,18,96,156,114,114,32,4,4,16,128
3173036,8,13,52,65,113,7,0,0,10,0
3173441,10,12,8,6,13,2,2,4,10,2
3173105,15,4,35,18,74,0,0,6,30,3
3173612,2,4,8,6,0,0,0,0,0,0
3173496,3,3,12,7,0,0,0,0,0,0
3173510,0,0,0,0,20,0,0,0,0,0
3173682,0,0,3,12,12,0,0,0,12,0
3173116,8,8,3,3,20,0,0,0,0,0
3173120,4,22,10,10,4,0,2,13,20,0
3173634,4,5,8,8,0,0,0,0,0,0
3173623,2,1,4,6,5,0,0,0,0,0
3173532,0,5,8,6,8,0,0,0,0,2
3173695,1,3,4,6,15,0,0,0,0,0
3173671,0,0,0,0,3,0,0,0,0,0
3173704,0,0,0,0,0,0,0,0,0,0
3171768,3,30,6,8,0,4,0,0,4,2
3175326,0,7,12,36,84,2,0,0,10,10
3175407,10,29,33,28,22,4,1,1,10,10
3175385,7,35,20,27,27,9,0,0,0,7
3175016,0,8,10,30,448,10,6,10,35,13
3175042,4,6,20,80,27,7,0,0,5,0
3175075,3,3,12,32,34,6,2,2,6,0
3175352,8,47,14,41,24,8,0,2,29,0
3175031,0,4,4,12,108,4,0,3,13,0
3175341,6,42,18,11,16,9,3,3,20,16
3175374,3,4,11,31,39,6,6,4,5,3
3175315,4,18,18,18,26,6,0,0,0,0
3175330,15,4,52,30,41,2,0,1,4,2
3175396,0,6,5,20,11,0,0,0,3,2
3175181,0,10,14,17,3,3,4,0,10,3
3175363,3,3,19,12,15,0,0,4,30,4
3175409,0,7,17,2,12,0,2,0,35,1
3175064,0,2,26,16,115,3,0,0,5,5
3174509,0,1,4,13,6,0,0,0,0,0
3175408,0,0,37,22,37,0,0,0,7,3
3175304,0,0,0,0,53,0,0,0,0,0
3174074,0,10,16,34,180,6,0,4,0,2
3174416,0,5,4,19,53,0,0,0,19,2
3174486,12,24,18,36,20,0,0,0,0,0
3174015,0,16,14,52,109,7,0,0,20,0
3174431,2,23,31,45,68,15,2,3,20,3
3174351,5,61,26,39,39,7,0,8,0,3
3174475,2,3,8,9,36,8,0,4,0,0
3174052,4,32,13,18,21,4,1,1,10,2
3174420,1,14,25,16,9,3,0,0,13,1
3174508,2,40,20,15,15,5,0,2,10,0
3174026,0,35,72,94,75,16,0,2,15,0
3174030,1,1,4,11,38,0,0,0,10,1
3174453,0,0,0,36,50,2,0,0,17,3
3174041,0,13,26,31,171,0,59,0,0,0
3174497,1,3,7,10,6,0,0,0,0,0
3174063,2,16,122,78,157,7,4,0,0,10
3174260,2,38,55,61,66,2,12,56,36,0
3174282,8,16,65,34,42,14,18,0,0,112
3174527,0,0,0,0,0,0,0,0,0,0
3174510,0,0,5,8,12,0,0,0,25,0
3174515,1,4,2,6,4,0,0,0,0,0
3171791,0,0,0,0,40,0,0,0,0,2
3171450,2,6,11,22,12,3,0,0,4,0
3171012,9,37,78,127,298,23,10,5,44,79
3171786,5,25,30,15,20,9,6,12,8,3
3171574,0,3,25,38,49,2,0,0,15,4
3171798,0,3,0,0,0,0,0,0,0,2
3171702,1,4,11,26,32,3,0,0,18,0
3171023,5,17,108,122,74,20,1,1,10,0
3171781,0,6,16,16,34,0,0,0,10,3
3171621,1,9,12,10,5,0,0,0,8,0
3171504,14,90,24,23,17,4,0,5,30,0
3171785,0,1,12,11,18,0,0,0,7,0
3171785,8,27,11,15,25,2,1,2,9,2
3171034,13,18,28,58,57,0,0,0,0,0
3171643,2,8,8,7,17,0,0,0,0,2
3171072,4,7,16,28,47,3,0,0,7,3
3171515,10,44,24,29,24,5,0,0,15,0
3171045,0,11,23,43,48,4,0,0,10,3
3171665,12,64,19,23,52,0,0,0,10,0
3171632,2,6,20,15,21,2,0,0,4,0
3171461,5,24,22,27,42,5,0,0,6,0
3171680,0,8,8,12,30,1,0,0,11,1
3171782,2,2,3,6,9,0,0,0,2,2
3171746,1,2,10,9,10,0,0,0,18,1
3171724,10,21,6,0,8,1,0,4,13,2
3171413,13,8,8,3,5,0,0,0,36,0
3171060,0,16,4,10,22,0,0,0,0,0
3171552,6,4,7,9,0,0,0,0,0,0
3171216,0,0,0,0,46,0,0,0,0,0
3171713,2,4,18,11,15,0,0,0,20,4
3171784,0,4,8,9,27,2,1,0,10,2
3171511,3,1,6,4,8,2,0,0,2,0
3171757,0,9,2,6,8,0,0,0,30,0
3171083,0,2,4,4,9,0,0,0,14,0
31717835,5,10,6,8,8,0,0,1,19,1
3171424,0,4,4,4,12,0,0,0,0,0
3171286,3,4,4,4,7,0,1,0,12,1
3172531,1,1,6,13,29,2,0,0,16,0
3172553,6,35,37,44,39,6,3,12,15,3
3172590,4,8,14,19,19,3,0,0,10,0
3172505,0,12,36,78,61,2,0,4,18,5
3172083,0,9,16,21,24,0,0,0,6,3
3172035,0,0,16,16,80,7,0,0,0,0
3172206,39,54,75,112,0,0,0,0,0,0
3172061,2,9,24,39,56,5,0,0,14,3
